"","parameter","forkortelse","enhet","kategori_1","kategori_2","dato","sigevann","verdi","LOQ","verdi_korr","gv_min","gv_max","GV_over","provepunkt","krav"
"165","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-07,"inn","30.1",FALSE,30.1,"50",NA,FALSE,152,TRUE
"166","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-21,"inn","49.4",FALSE,49.4,"50",NA,FALSE,152,TRUE
"167","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-12-12,"inn","32.200000000000003",FALSE,32.2,"50",NA,FALSE,152,TRUE
"168","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-02-13,"inn","46.5",FALSE,46.5,"50",NA,FALSE,152,TRUE
"169","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-02-27,"inn","40.4",FALSE,40.4,"50",NA,FALSE,152,TRUE
"170","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-14,"inn","39.4",FALSE,39.4,"50",NA,FALSE,152,TRUE
"171","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-03-15,"inn","74.900000000000006",FALSE,74.9,"50",NA,TRUE,152,TRUE
"172","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-10-24,"ut","27.5",FALSE,27.5,"50",NA,FALSE,151,TRUE
"173","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-10-31,"ut","28.9",FALSE,28.9,"50",NA,FALSE,151,TRUE
"174","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-07,"ut","26.4",FALSE,26.4,"50",NA,FALSE,151,TRUE
"175","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-21,"ut","35",FALSE,35,"50",NA,FALSE,151,TRUE
"176","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-12-12,"ut","32.5",FALSE,32.5,"50",NA,FALSE,151,TRUE
"177","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-02-13,"ut","36.1",FALSE,36.1,"50",NA,FALSE,151,TRUE
"178","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-02-27,"ut","29.8",FALSE,29.8,"50",NA,FALSE,151,TRUE
"179","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2022-11-14,"ut","31.8",FALSE,31.8,"50",NA,FALSE,151,TRUE
"180","Nikkel (Ni)","Ni","<U+00B5>g/l","tungmetaller","andre metaller",2023-03-15,"ut","28.2",FALSE,28.2,"50",NA,FALSE,151,TRUE
"181","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","62.5",FALSE,62.5,"50",NA,TRUE,152,TRUE
"182","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","8.5",FALSE,8.5,"50",NA,FALSE,152,TRUE
"183","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","36.1",FALSE,36.1,"50",NA,FALSE,152,TRUE
"184","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","17.3",FALSE,17.3,"50",NA,FALSE,152,TRUE
"185","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","44.6",FALSE,44.6,"50",NA,FALSE,152,TRUE
"186","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","6.9",FALSE,6.9,"50",NA,FALSE,152,TRUE
"187","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","12.7",FALSE,12.7,"50",NA,FALSE,152,TRUE
"188","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","15.6",FALSE,15.6,"50",NA,FALSE,152,TRUE
"189","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","73.400000000000006",FALSE,73.4,"50",NA,TRUE,152,TRUE
"190","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","1.4",FALSE,1.4,"50",NA,FALSE,151,TRUE
"191","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","1.1000000000000001",FALSE,1.1,"50",NA,FALSE,151,TRUE
"192","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut","3.7",FALSE,3.7,"50",NA,FALSE,151,TRUE
"193","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut","3.5",FALSE,3.5,"50",NA,FALSE,151,TRUE
"194","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","2.5",FALSE,2.5,"50",NA,FALSE,151,TRUE
"195","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","1.9",FALSE,1.9,"50",NA,FALSE,151,TRUE
"196","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","1.1000000000000001",FALSE,1.1,"50",NA,FALSE,151,TRUE
"197","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","<1,0",TRUE,1,"50",NA,FALSE,151,TRUE
"198","Bly (Pb)","Pb","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","<1.0",TRUE,1,"50",NA,FALSE,151,TRUE
"199","pH","pH",NA,"vannparameter","pH",2023-03-15,"ut","7.3",FALSE,7.3,"5.5",8.5,TRUE,151,TRUE
"200","pH","pH",NA,"vannparameter","pH",2022-11-14,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"201","pH","pH",NA,"vannparameter","pH",2022-10-24,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"202","pH","pH",NA,"vannparameter","pH",2022-10-31,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"203","pH","pH",NA,"vannparameter","pH",2022-11-07,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"204","pH","pH",NA,"vannparameter","pH",2022-11-21,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"205","pH","pH",NA,"vannparameter","pH",2022-12-12,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"206","pH","pH",NA,"vannparameter","pH",2023-02-13,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"207","pH","pH",NA,"vannparameter","pH",2023-02-27,"ut","8.5",FALSE,8.5,"5.5",8.5,TRUE,151,TRUE
"208","pH","pH",NA,"vannparameter","pH",2023-03-15,"inn","7.9",FALSE,7.9,"5.5",8.5,TRUE,152,TRUE
"209","pH","pH",NA,"vannparameter","pH",2022-11-14,"inn","7.3",FALSE,7.3,"5.5",8.5,TRUE,152,TRUE
"210","pH","pH",NA,"vannparameter","pH",2022-10-24,"inn","7.7",FALSE,7.7,"5.5",8.5,TRUE,152,TRUE
"211","pH","pH",NA,"vannparameter","pH",2022-10-31,"inn","7.7",FALSE,7.7,"5.5",8.5,TRUE,152,TRUE
"212","pH","pH",NA,"vannparameter","pH",2022-11-07,"inn","7.6",FALSE,7.6,"5.5",8.5,TRUE,152,TRUE
"213","pH","pH",NA,"vannparameter","pH",2022-11-21,"inn","7.7",FALSE,7.7,"5.5",8.5,TRUE,152,TRUE
"214","pH","pH",NA,"vannparameter","pH",2022-12-12,"inn","7.9",FALSE,7.9,"5.5",8.5,TRUE,152,TRUE
"215","pH","pH",NA,"vannparameter","pH",2023-02-13,"inn","7.9",FALSE,7.9,"5.5",8.5,TRUE,152,TRUE
"216","pH","pH",NA,"vannparameter","pH",2023-02-27,"inn","7.5",FALSE,7.5,"5.5",8.5,TRUE,152,TRUE
"217","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-10-24,"inn","10.8",FALSE,10.8,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"218","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-10-31,"inn","7.13",FALSE,7.13,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"219","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-07,"inn","7.08",FALSE,7.08,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"220","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-21,"inn","6.92",FALSE,6.92,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"221","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-12-12,"inn",NA,NA,NA,"m<U+00E5>lekrav",NA,NA,152,TRUE
"222","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-02-13,"inn","8.51",FALSE,8.51,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"223","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-02-27,"inn","11",FALSE,11,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"224","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-14,"inn","4.7699999999999996",FALSE,4.77,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"225","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-03-15,"inn","3.79",FALSE,3.79,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"226","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-10-24,"ut","4.67",FALSE,4.67,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"227","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-10-31,"ut","4.1100000000000003",FALSE,4.11,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"228","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-07,"ut","2.58",FALSE,2.58,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"229","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-21,"ut","2.61",FALSE,2.61,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"230","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-12-12,"ut","2.64",FALSE,2.64,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"231","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-02-13,"ut","3.33",FALSE,3.33,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"232","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-02-27,"ut","3.66",FALSE,3.66,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"233","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2022-11-14,"ut","0.93",FALSE,0.93,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"234","Sum PAH-16","Sum PAH-16","<U+00B5>g/l","org milj","PAH",2023-03-15,"ut","0.61799999999999999",FALSE,0.618,"m<U+00E5>lekrav",NA,FALSE,151,TRUE
"235","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-10-24,"inn","200",FALSE,200,"50",NA,TRUE,152,TRUE
"236","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-10-24,"ut","76",FALSE,76,"50",NA,TRUE,151,TRUE
"237","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-10-31,"inn","340",FALSE,340,"50",NA,TRUE,152,TRUE
"238","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-10-31,"ut","220",FALSE,220,"50",NA,TRUE,151,TRUE
"239","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-07,"inn","290",FALSE,290,"50",NA,TRUE,152,TRUE
"240","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-07,"ut","110",FALSE,110,"50",NA,TRUE,151,TRUE
"241","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-14,"inn","350",FALSE,350,"50",NA,TRUE,152,TRUE
"242","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-14,"ut","92",FALSE,92,"50",NA,TRUE,151,TRUE
"243","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-21,"inn","510",FALSE,510,"50",NA,TRUE,152,TRUE
"244","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-11-21,"ut","90",FALSE,90,"50",NA,TRUE,151,TRUE
"245","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-12-12,"inn","340",FALSE,340,"50",NA,TRUE,152,TRUE
"246","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2022-12-12,"ut","100",FALSE,100,"50",NA,TRUE,151,TRUE
"247","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-02-13,"inn","750",FALSE,750,"50",NA,TRUE,152,TRUE
"248","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-02-13,"ut","90",FALSE,90,"50",NA,TRUE,151,TRUE
"249","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-02-27,"inn","490",FALSE,490,"50",NA,TRUE,152,TRUE
"250","Suspendert Stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-02-27,"ut","8",FALSE,8,"50",NA,FALSE,151,TRUE
"251","Suspendert stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-03-15,"inn","640",FALSE,640,"50",NA,TRUE,152,TRUE
"252","Suspendert stoff","Suspendert stoff","mg/l","vannparameter","stoff",2023-03-15,"ut","10",FALSE,10,"50",NA,FALSE,151,TRUE
"253","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"inn","129",FALSE,129,NA,NA,FALSE,152,TRUE
"254","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"inn","166",FALSE,166,NA,NA,FALSE,152,TRUE
"255","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"inn","119",FALSE,119,NA,NA,FALSE,152,TRUE
"256","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"inn","110",FALSE,110,NA,NA,FALSE,152,TRUE
"257","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"inn","98.9",FALSE,98.9,NA,NA,FALSE,152,TRUE
"258","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"inn","184",FALSE,184,NA,NA,FALSE,152,TRUE
"259","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"inn","184",FALSE,184,NA,NA,FALSE,152,TRUE
"260","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"inn","149",FALSE,149,NA,NA,FALSE,152,TRUE
"261","THC >C10-C12","THC >C10-C12","<U+00B5>g/L","hydrokarboner","alifater",2023-03-15,"inn","122",FALSE,122,NA,NA,FALSE,152,TRUE
"262","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"ut","21.8",FALSE,21.8,NA,NA,FALSE,151,TRUE
"263","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"ut","31.3",FALSE,31.3,NA,NA,FALSE,151,TRUE
"264","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"ut","26.2",FALSE,26.2,NA,NA,FALSE,151,TRUE
"265","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"ut","21.5",FALSE,21.5,NA,NA,FALSE,151,TRUE
"266","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"ut","32.799999999999997",FALSE,32.8,NA,NA,FALSE,151,TRUE
"267","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"ut","34.799999999999997",FALSE,34.8,NA,NA,FALSE,151,TRUE
"268","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"ut","31.6",FALSE,31.6,NA,NA,FALSE,151,TRUE
"269","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"ut","<5,0",TRUE,5,NA,NA,FALSE,151,TRUE
"270","THC >C10-C12","THC >C10-C12","<U+00B5>g/l","hydrokarboner","alifater",2023-03-15,"ut","24.9",FALSE,24.9,NA,NA,FALSE,151,TRUE
"271","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"inn","1200",FALSE,1200,NA,NA,FALSE,152,TRUE
"272","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"inn","1680",FALSE,1680,NA,NA,FALSE,152,TRUE
"273","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"inn","1200",FALSE,1200,NA,NA,FALSE,152,TRUE
"274","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"inn","929",FALSE,929,NA,NA,FALSE,152,TRUE
"275","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"inn","932",FALSE,932,NA,NA,FALSE,152,TRUE
"276","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"inn","1690",FALSE,1690,NA,NA,FALSE,152,TRUE
"277","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"inn","1150",FALSE,1150,NA,NA,FALSE,152,TRUE
"278","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"inn","1750",FALSE,1750,NA,NA,FALSE,152,TRUE
"279","THC >C10-C40","THC >C10-C40","<U+00B5>g/L","hydrokarboner","alifater",2023-03-15,"inn","1550",FALSE,1550,NA,NA,FALSE,152,TRUE
"280","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"ut","311",FALSE,311,NA,NA,FALSE,151,TRUE
"281","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"ut","364",FALSE,364,NA,NA,FALSE,151,TRUE
"282","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"ut","520",FALSE,520,NA,NA,FALSE,151,TRUE
"283","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"ut","207",FALSE,207,NA,NA,FALSE,151,TRUE
"284","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"ut","472",FALSE,472,NA,NA,FALSE,151,TRUE
"285","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"ut","1110",FALSE,1110,NA,NA,FALSE,151,TRUE
"286","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"ut","123",FALSE,123,NA,NA,FALSE,151,TRUE
"287","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"ut","249",FALSE,249,NA,NA,FALSE,151,TRUE
"288","THC >C10-C40","THC >C10-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-03-15,"ut","441",FALSE,441,NA,NA,FALSE,151,TRUE
"289","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"inn","236",FALSE,236,NA,NA,FALSE,152,TRUE
"290","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"inn","328",FALSE,328,NA,NA,FALSE,152,TRUE
"291","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"inn","234",FALSE,234,NA,NA,FALSE,152,TRUE
"292","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"inn","217",FALSE,217,NA,NA,FALSE,152,TRUE
"293","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"inn","243",FALSE,243,NA,NA,FALSE,152,TRUE
"294","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"inn","461",FALSE,461,NA,NA,FALSE,152,TRUE
"295","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"inn","345",FALSE,345,NA,NA,FALSE,152,TRUE
"296","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"inn","314",FALSE,314,NA,NA,FALSE,152,TRUE
"297","THC >C12-C16","THC >C12-C16","<U+00B5>g/L","hydrokarboner","alifater",2023-03-15,"inn","336",FALSE,336,NA,NA,FALSE,152,TRUE
"298","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"ut","175",FALSE,175,NA,NA,FALSE,151,TRUE
"299","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"ut","155",FALSE,155,NA,NA,FALSE,151,TRUE
"300","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"ut","379",FALSE,379,NA,NA,FALSE,151,TRUE
"301","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"ut","105",FALSE,105,NA,NA,FALSE,151,TRUE
"302","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"ut","225",FALSE,225,NA,NA,FALSE,151,TRUE
"303","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"ut","845",FALSE,845,NA,NA,FALSE,151,TRUE
"304","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"ut","61.9",FALSE,61.9,NA,NA,FALSE,151,TRUE
"305","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"ut","139",FALSE,139,NA,NA,FALSE,151,TRUE
"306","THC >C12-C16","THC >C12-C16","<U+00B5>g/l","hydrokarboner","alifater",2023-03-15,"ut","225",FALSE,225,NA,NA,FALSE,151,TRUE
"307","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"inn","760",FALSE,760,NA,NA,FALSE,152,TRUE
"308","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"inn","1070",FALSE,1070,NA,NA,FALSE,152,TRUE
"309","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"inn","764",FALSE,764,NA,NA,FALSE,152,TRUE
"310","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"inn","548",FALSE,548,NA,NA,FALSE,152,TRUE
"311","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"inn","541",FALSE,541,NA,NA,FALSE,152,TRUE
"312","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"inn","962",FALSE,962,NA,NA,FALSE,152,TRUE
"313","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"inn","568",FALSE,568,NA,NA,FALSE,152,TRUE
"314","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"inn","1160",FALSE,1160,NA,NA,FALSE,152,TRUE
"315","THC >C16-C35","THC >C16-C35","<U+00B5>g/L","hydrokarboner","alifater",2023-03-15,"inn","998",FALSE,998,NA,NA,FALSE,152,TRUE
"316","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"ut","112",FALSE,112,NA,NA,FALSE,151,TRUE
"317","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"ut","169",FALSE,169,NA,NA,FALSE,151,TRUE
"318","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"ut","106",FALSE,106,NA,NA,FALSE,151,TRUE
"319","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"ut","55.2",FALSE,55.2,NA,NA,FALSE,151,TRUE
"320","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"ut","197",FALSE,197,NA,NA,FALSE,151,TRUE
"321","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"ut","223",FALSE,223,NA,NA,FALSE,151,TRUE
"322","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"ut","<30",TRUE,30,NA,NA,FALSE,151,TRUE
"323","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"ut","101",FALSE,101,NA,NA,FALSE,151,TRUE
"324","THC >C16-C35","THC >C16-C35","<U+00B5>g/l","hydrokarboner","alifater",2023-03-15,"ut","182",FALSE,182,NA,NA,FALSE,151,TRUE
"325","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"inn","73.2",FALSE,73.2,NA,NA,FALSE,152,TRUE
"326","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-31,"inn","117",FALSE,117,NA,NA,FALSE,152,TRUE
"327","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-07,"inn","87.9",FALSE,87.9,NA,NA,FALSE,152,TRUE
"328","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-21,"inn","54.2",FALSE,54.2,NA,NA,FALSE,152,TRUE
"329","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-12-12,"inn","48.8",FALSE,48.8,NA,NA,FALSE,152,TRUE
"330","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-13,"inn","79.5",FALSE,79.5,NA,NA,FALSE,152,TRUE
"331","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2023-02-27,"inn","52.5",FALSE,52.5,NA,NA,FALSE,152,TRUE
"332","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-11-14,"inn","132",FALSE,132,NA,NA,FALSE,152,TRUE
"333","THC >C35-C40","THC >C35-C40","<U+00B5>g/L","hydrokarboner","alifater",2023-03-15,"inn","95.9",FALSE,95.9,NA,NA,FALSE,152,TRUE
"334","THC >C35-C40","THC >C35-C40","<U+00B5>g/l","hydrokarboner","alifater",2022-10-24,"ut","<10",TRUE,10,NA,NA,FALSE,151,TRUE
